Location,Amount,Type
Pozorrubio,2,universal
Pozorrubio,0,thrift
Pozorrubio,0,rural
Rosales,14,universal
Rosales,2,thrift
Rosales,0,rural
San Carlos (City),5,universal
San Carlos (City),0,thrift
San Carlos (City),0,rural
San Fabian,0,universal
San Fabian,0,thrift
San Fabian,0,rural
San Jacinto,0,universal
San Jacinto,0,thrift
San Jacinto,0,rural
San Manuel,0,universal
San Manuel,0,thrift
San Manuel,0,rural
San Nicolas,0,universal
San Nicolas,0,thrift
San Nicolas,0,rural
San Quintin,0,universal
San Quintin,0,thrift
San Quintin,0,rural
Santa Barbara,0,universal
Santa Barbara,0,thrift
Santa Barbara,0,rural
Santa Maria,0,universal
Santa Maria,0,thrift
Santa Maria,0,rural
Santo Tomas,0,universal
Santo Tomas,0,thrift
Santo Tomas,0,rural
Sison,0,universal
Sison,0,thrift
Sison,0,rural
Sual,2,universal
Sual,0,thrift
Sual,0,rural
Tayug,7,universal
Tayug,0,thrift
Tayug,0,rural
Umingan,0,universal
Umingan,0,thrift
Umingan,0,rural
Urbiztondo,0,universal
Urbiztondo,0,thrift
Urbiztondo,0,rural
Urdaneta City,28,universal
Urdaneta City,3,thrift
Urdaneta City,0,rural
Villasis,1,universal
Villasis,0,thrift
Villasis,0,rural
Basco (Capital),1,universal
Basco (Capital),0,thrift
Basco (Capital),0,rural
Itbayat,0,universal
Itbayat,0,thrift
Itbayat,0,rural
Ivana,0,universal
Ivana,0,thrift
Ivana,0,rural
Mahatao,0,universal
Mahatao,0,thrift
Mahatao,0,rural
Sabtang,0,universal
Sabtang,0,thrift
Sabtang,0,rural
Uyugan,0,universal
Uyugan,0,thrift
Uyugan,0,rural
Abulog,0,universal
Abulog,0,thrift
Abulog,0,rural
Alcala,0,universal
Alcala,0,thrift
Alcala,0,rural
Allacapan,0,universal
Allacapan,0,thrift
Allacapan,1,rural
Amulung,0,universal
Amulung,0,thrift
Amulung,0,rural
Aparri,7,universal
Aparri,0,thrift
Aparri,0,rural
Baggao,0,universal
Baggao,0,thrift
Baggao,0,rural
Ballesteros,0,universal
Ballesteros,0,thrift
Ballesteros,0,rural
Buguey,0,universal
Buguey,0,thrift
Buguey,0,rural
Calayan,0,universal
Calayan,0,thrift
Calayan,0,rural
Camalaniugan,0,universal
Camalaniugan,0,thrift
Camalaniugan,0,rural
Claveria,0,universal
Claveria,0,thrift
Claveria,0,rural
Enrile,0,universal
Enrile,0,thrift
Enrile,0,rural
Gattaran,0,universal
Gattaran,0,thrift
Gattaran,1,rural
Gonzaga,0,universal
Gonzaga,0,thrift
Gonzaga,1,rural
Iguig,0,universal
Iguig,0,thrift
Iguig,0,rural
Lal-Lo,0,universal
Lal-Lo,0,thrift
Lal-Lo,0,rural
Lasam,0,universal
Lasam,0,thrift
Lasam,0,rural
Pamplona,0,universal
Pamplona,0,thrift
Pamplona,0,rural
Penablanca,0,universal
Penablanca,0,thrift
Penablanca,0,rural
Piat,0,universal
Piat,0,thrift
Piat,0,rural
Rizal,0,universal
Rizal,0,thrift
Rizal,0,rural
Sanchez-Mira,2,universal
Sanchez-Mira,0,thrift
Sanchez-Mira,0,rural
Santa Ana,0,universal
Santa Ana,0,thrift
Santa Ana,0,rural
Santa Praxedes (Langangan),0,universal
Santa Praxedes (Langangan),0,thrift
Santa Praxedes (Langangan),0,rural
Santa Teresita,0,universal
Santa Teresita,0,thrift
Santa Teresita,0,rural
Santo Nino (Faire),0,universal
Santo Nino (Faire),0,thrift
Santo Nino (Faire),0,rural
Solana,0,universal
Solana,0,thrift
Solana,0,rural
Tuao,1,universal
Tuao,0,thrift
Tuao,0,rural
Tuguegarao (City/Capital),38,universal
Tuguegarao (City/Capital),2,thrift
Tuguegarao (City/Capital),0,rural
Alicia,3,universal
Alicia,0,thrift
Alicia,0,rural
Angadanan,0,universal
Angadanan,0,thrift
Angadanan,0,rural
Aurora,0,universal
Aurora,0,thrift
Aurora,0,rural
Benito Soliven,0,universal
Benito Soliven,0,thrift
Benito Soliven,0,rural
Burgos,0,universal
Burgos,0,thrift
Burgos,0,rural
Cabagan,0,universal
Cabagan,0,thrift
Cabagan,0,rural
Cabatuan,0,universal
Cabatuan,0,thrift
Cabatuan,0,rural
Cauayan City,18,universal
Cauayan City,1,thrift
Cauayan City,0,rural
Cordon,0,universal
Cordon,0,thrift
Cordon,0,rural
Dinapigui,0,universal
Dinapigui,0,thrift
Dinapigui,0,rural
Divilican,0,universal
Divilican,0,thrift
Divilican,0,rural
Echague,2,universal
Echague,0,thrift
Echague,0,rural
Gamu,0,universal
Gamu,0,thrift
Gamu,0,rural
Ilagan City (Capital),15,universal
Ilagan City (Capital),0,thrift
Ilagan City (Capital),0,rural
Jones,0,universal
Jones,0,thrift
Jones,0,rural
Luna (Antatet),0,universal
Luna (Antatet),0,thrift
Luna (Antatet),0,rural
Maconanan,0,universal
Maconanan,0,thrift
Maconanan,0,rural
Magsaysay(D Albano),0,universal
Magsaysay(D Albano),0,thrift
Magsaysay(D Albano),0,rural
Mallig,0,universal
Mallig,0,thrift
Mallig,0,rural
Naguilian,0,universal
Naguilian,0,thrift
Naguilian,0,rural
Palanan,0,universal
Palanan,0,thrift
