region,airport,airline_operation,january,february,march,april,may,june,july,august,september,october,november,december,total,
I (Ilocos Norte),Vigan,G. Aviation,600,2150,1600,2370,1220,1200,500,1300,1780,2100,1070,2375,18265,
I (Ilocos Norte),Vigan,Seair,-,-,-,-,-,-,-,-,-,-,-,-,0,
II (Cagayan Valley),Bagabag,Cyclone Airways,-,-,-,-,-,-,-,-,-,-,-,-,0,
II (Cagayan Valley),Bagabag,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0,
II (Cagayan Valley),Basco,Philippine Airline Express,32394,32396,52526,54665,59437,33775,27241,23392,30178,23187,29877,35718,434786,
II (Cagayan Valley),Basco,WCC,11304,12309,13367,15321,16573,14039,12744,9952,11531,10117,12902,20891,161050,
II (Cagayan Valley),Basco,North Sky Air,3487,3335,5759,8804,10325,5759,2321,4230,2004,3656,6037,5347,61064,
II (Cagayan Valley),Basco,Sky Jet,6189,17892,28513,24588,20432,20473,7784,9003,9985,18114,16467,25904,205344,
II (Cagayan Valley),Basco,Lion Air,-,-,-,-,-,-,-,-,-,-,1475,-,1475,
II (Cagayan Valley),Basco,G. Aviation,-,500,206,-,160,-,-,-,-,-,450,650,1966,
II (Cagayan Valley),Basco,Military,-,-,-,-,1300,-,-,-,-,-,-,-,1300,
II (Cagayan Valley),Cauayan,Cebu Pacific,32883,25859,36797,41151,38006,34834,36758,34681,28197,29499,28310,36870,403845,
II (Cagayan Valley),Cauayan,G. Aviation,-,-,19482,-,-,10597,5314,-,-,10205,-,-,45598,
II (Cagayan Valley),Cauayan,North Sky Air,-,-,-,-,-,-,-,15625,-,-,-,-,15625,
II (Cagayan Valley),Cauayan,Military,-,-,-,-,-,-,-,-,-,-,-,-,0,
II (Cagayan Valley),Cauayan,Cyclone Airways,16514,11961,-,8527,11178,-,-,5867,8222,-,13929,10819,87017,
II (Cagayan Valley),Cauayan,wcc,-,-,-,-,-,-,-,-,-,-,-,-,0,
II (Cagayan Valley),Itbayat,Sky pasada,-,-,-,-,-,-,-,-,-,-,-,-,0,
II (Cagayan Valley),Itbayat,North Sky Air,-,-,-,-,-,-,-,-,63,-,-,-,63,
II (Cagayan Valley),Itbayat,Air Republic ,-,-,-,-,-,-,-,-,-,-,-,-,0,
II (Cagayan Valley),Itbayat,Mid Sea Express,-,-,-,-,-,-,-,-,-,-,-,-,0,
II (Cagayan Valley),Itbayat,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0,
II (Cagayan Valley),Itbayat,Cyclone Airways,-,-,-,-,-,-,-,-,-,-,-,-,0,
II (Cagayan Valley),Palanan,Cyclone Airways,8645,7632,11249,5586,7652,6376,3386,4139,5812,7573,8897,8274,85221,
II (Cagayan Valley),Palanan,North Sky Air,1230,-,-,195,-,-,2772,40,-,87,-,75,4399,
II (Cagayan Valley),Palanan,WCC,12613,-,14066,12604,17880,14835,10874,10347,9956,12456,9203,12914,137748,
II (Cagayan Valley),Palanan,Military,-,-,-,-,-,-,-,-,-,-,-,-,0,
II (Cagayan Valley),Tuguegarao (International),Cebu Pacific,-,-,-,-,-,-,-,-,-,-,-,-,0,
II (Cagayan Valley),Tuguegarao (International),G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0,
II (Cagayan Valley),Tuguegarao (International),Military,-,-,-,-,-,-,-,-,-,-,-,-,0,
II (Cagayan Valley),Tuguegarao (Domestic),Cebu Pacific,77975,79030,107780,106259,103156,100150,93362,95509,89062,95643,89874,138151,1175951,
II (Cagayan Valley),Tuguegarao (Domestic),Air Philippine,28872,24832,43977,37843,36893,34051,40501,34297,24906,21385,28257,39762,395576,
II (Cagayan Valley),Tuguegarao (Domestic),Florida Air,-,-,-,-,-,-,-,-,-,-,-,-,0,
II (Cagayan Valley),Tuguegarao (Domestic),Royal Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0,
II (Cagayan Valley),Tuguegarao (Domestic),North Sky Air,14166,10513,16368,21828,22477,21522,14628,16803,17562,16811,15049,21072,208799,
II (Cagayan Valley),Tuguegarao (Domestic),Lion Air,-,-,-,-,-,-,-,-,-,-,-,-,0,
II (Cagayan Valley),Tuguegarao (Domestic),Chemtrad,-,-,-,-,-,-,-,-,-,-,-,-,0,
II (Cagayan Valley),Tuguegarao (Domestic),WCC,21139,17990,26481,27493,32291,28052,22781,21603,22782,23032,24644,31647,299935,
II (Cagayan Valley),Tuguegarao (Domestic),Mid Sea Express,-,-,-,-,-,-,-,-,-,-,-,-,0,
II (Cagayan Valley),Tuguegarao (Domestic),Batanes Air,-,-,-,-,-,-,-,-,-,-,-,-,0,
II (Cagayan Valley),Tuguegarao (Domestic),Cyclone Airways,-,-,-,-,-,-,-,-,-,-,-,-,0,
II (Cagayan Valley),Tuguegarao (Domestic),ATX,-,-,-,-,-,-,-,-,-,-,-,-,0,
II (Cagayan Valley),Tuguegarao (Domestic),Royal Air,-,-,-,-,-,-,-,-,-,-,-,-,0,
II (Cagayan Valley),Tuguegarao (Domestic),Skypasada WCC ,-,-,-,-,-,-,-,-,-,-,-,-,0,
II (Cagayan Valley),Tuguegarao (Domestic),G. Aviation,700,175,3001,340,2226,4500,-,-,170,-,1450,1456,14018,
II (Cagayan Valley),Tuguegarao (Domestic),Military,-,-,-,-,-,-,-,-,-,-,-,-,0,
III (Central Luzon),Iba,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0,
III (Central Luzon),Subic,International,-,-,-,-,-,-,-,-,-,-,-,-,0,
